Legajo;Estado;Estructura;Convenio;Categoria;ID_Cat;Ingreso;Sexo;provincia;puesto;piramide;Titulo ;ID_PuestoBasico;ID_Banco;Banco;Enero;Febrero;Marzo
1535;ACTI;Dentro de convenio;ATCC    ;30,0 Hs. CATEGORIA 3 CCT688/14;H13 ;6/12/2010;M;CBA                     ;Operador ;8;NO;CDT     ;72;BANCO SANTANDER RIO S.A.;262479;291351;291351
1540;ACTI;Dentro de convenio;ATCC    ;30,0 Hs. CATEGORIA 3 CCT688/14;H13 ;6/12/2010;F;CBA                     ;Operador ;8;NO;CDT     ;72;BANCO SANTANDER RIO S.A.;262479;291351;291351
1541;ACTI;Dentro de convenio;ATCC    ;36,0 Hs. CATEGORIA 3 CCT688/14;H01 ;6/12/2010;M;CBA                     ;Operador ;8;NO;CDT     ;72;BANCO SANTANDER RIO S.A.;314974;349622;349622
1546;ACTI;Dentro de convenio;ATCC    ;30,0 Hs. CATEGORIA 3 CCT688/14;H13 ;6/12/2010;F;CBA                     ;Operador ;8;NO;CDT     ;72;BANCO SANTANDER RIO S.A.;262479;291351;291351
1563;ACTI;Dentro de convenio;ATCC    ;36,0 Hs. CATEGORIA 3 CCT688/14;H01 ;4/4/2011;F;CBA                     ;Operador ;8;NO;CDT     ;72;BANCO SANTANDER RIO S.A.;314974;349622;349622
1576;ACTI;Dentro de convenio;ATCC    ;35,0 Hs. CATEGORIA 3 CCT688/14;H03 ;18/4/2011;F;CBA                     ;Operador ;8;NO;CDT     ;72;BANCO SANTANDER RIO S.A.;306225;339910;339910
1578;ACTI;Dentro de convenio;ATCC    ;36,0 Hs. CATEGORIA 3 CCT688/14;H01 ;18/4/2011;M;CBA                     ;Operador ;8;NO;CDT     ;72;BANCO SANTANDER RIO S.A.;314974;349622;349622
1593;ACTI;Dentro de convenio;ATCC    ;35,0 Hs. CATEGORIA 3 CCT688/14;H03 ;21/11/2016;F;CBA                     ;Operador ;8;NO;CDT     ;7;BANCO DE GALICIA Y BUENOS AIRES S.A.;306225;339910;339910
2171;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;1/10/2005;F;CABA2                   ;Gerente de Legales;2;SI;GLE     ;72;BANCO SANTANDER RIO S.A.;1763954;2293140;2751768
2311;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;14/9/2015;M;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2312;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;14/9/2015;F;FORM                    ;Analista de Calidad;6;SI;CAL     ;44;BANCO HIPOTECARIO S.A.;427649;555944;667133
2314;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;14/9/2015;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2319;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;14/9/2015;F;FORM                    ;Team Leader Operaciones;7;NO;TLC     ;44;BANCO HIPOTECARIO S.A.;446398;580317;696380
2322;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;14/9/2015;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;294176;326535;326535
2325;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;14/9/2015;M;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2329;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;14/9/2015;F;FORM                    ;Team Leader Operaciones;7;NO;TLC     ;44;BANCO HIPOTECARIO S.A.;446398;580317;696380
2339;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;19/1/2016;M;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;294176;326535;326535
2341;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;19/1/2016;F;FORM                    ;Jefe de Operaciones;3;NO;JOP     ;44;BANCO HIPOTECARIO S.A.;656503;853454;1024145
2342;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;19/1/2016;M;FORM                    ;Team Leader Operaciones;7;NO;TLC     ;44;BANCO HIPOTECARIO S.A.;446398;580317;696380
2348;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;19/1/2016;F;FORM                    ;Analista de Calidad;6;SI;CAL     ;44;BANCO HIPOTECARIO S.A.;427649;555944;667133
2355;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;4/4/2016;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2365;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;4/4/2016;M;CBA                     ;Analista de Planeamiento Oper.;6;SI;APO     ;44;BANCO HIPOTECARIO S.A.;446398;580317;696380
2371;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;4/4/2016;M;FORM                    ;Analista Soporte Estratégico Operativo;6;SI;SEO     ;44;BANCO HIPOTECARIO S.A.;427649;555944;667133
2377;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;21/6/2016;F;FORM                    ;Operador ;8;NO;CDT     ;17;BBVA BANCO FRANCES S.A.;294176;326535;326535
2379;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;21/6/2016;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;294176;326535;326535
2388;ACTI;Dentro de convenio;CC-781  ;36 Hs. CATEGORIA OP. A CCT 781;OP36;3/8/2016;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;302581;335865;335865
2389;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;3/8/2016;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;294176;326535;326535
2393;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;20/9/2016;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2396;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;20/9/2016;F;CBA                     ;Team Leader Operaciones;7;NO;TLC     ;72;BANCO SANTANDER RIO S.A.;446398;580317;696380
2397;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;20/9/2016;M;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;294176;326535;326535
2400;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;11/10/2016;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2401;ACTI;Dentro de convenio;CC-781  ;36 Hs. CATEGORIA OP. A CCT 781;OP36;11/10/2016;M;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;302581;335865;335865
2402;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;17/10/2016;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2403;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;17/10/2016;M;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2406;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;17/10/2016;M;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;294176;326535;326535
2407;ACTI;Dentro de convenio;CC-781  ;20 Hs. CATEGORIA OP. A CCT 781;OP20;17/10/2016;M;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;168101;186592;186592
2414;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;17/10/2016;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2416;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;17/10/2016;F;FORM                    ;Team Leader Operaciones;7;NO;TLC     ;44;BANCO HIPOTECARIO S.A.;446398;580317;696380
2420;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;10/11/2016;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;294176;326535;326535
2422;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;10/11/2016;F;FORM                    ;Formador;7;NO;FOR     ;44;BANCO HIPOTECARIO S.A.;427649;555944;667133
2423;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;14/11/2016;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2425;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;14/11/2016;M;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2426;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;14/11/2016;F;FORM                    ;Analista de Rep. & Facturacion;6;SI;ARF     ;44;BANCO HIPOTECARIO S.A.;446398;580317;696380
2433;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;14/11/2016;M;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2434;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;14/11/2016;F;FORM                    ;Team Leader Operaciones;7;NO;TLC     ;44;BANCO HIPOTECARIO S.A.;446398;580317;696380
2438;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;14/11/2016;M;FORM                    ;Team Leader Operaciones;7;NO;TLC     ;44;BANCO HIPOTECARIO S.A.;446398;580317;696380
2444;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;7/12/2016;M;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;294176;326535;326535
2446;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;13/12/2016;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2451;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;23/3/2007;M;CBA                     ;Gerente Operaciones;2;NO;GEO     ;72;BANCO SANTANDER RIO S.A.;1750000;2230000;2730000
2458;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;27/3/2017;M;FORM                    ;Coordinador Planea. Operativo;4;SI;CPO     ;44;BANCO HIPOTECARIO S.A.;737087;958213;1149856
2464;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;16/5/2017;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2465;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;16/5/2017;M;FORM                    ;Analista de Soporte Tecnico;6;SI;AST     ;44;BANCO HIPOTECARIO S.A.;427649;555944;667133
2483;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;29/5/2017;M;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;294176;326535;326535
2486;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;12/6/2017;F;FORM                    ;Operador ;8;NO;CDT     ;17;BBVA BANCO FRANCES S.A.;252151;279887;279887
2492;ACTI;Dentro de convenio;CC-781  ;27 Hs. CATEGORIA OP. A CCT 781;OP27;19/6/2017;F;FORM                    ;Operador ;8;NO;CDT     ;17;BBVA BANCO FRANCES S.A.;226936;251899;251899
2499;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;3/7/2017;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2500;ACTI;Dentro de convenio;CC-781  ;25 Hs. CATEGORIA OP. A CCT 781;OP25;27/3/2017;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;210126;233239;233239
2502;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;27/3/2017;F;CBA                     ;Coordinador de Soporte Tecnico;4;SI;CST     ;72;BANCO SANTANDER RIO S.A.;662615;861400;1033680
2503;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;27/3/2017;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2510;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;10/7/2017;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2512;ACTI;Dentro de convenio;CC-781  ;36 Hs. CATEGORIA OP. A CCT 781;OP36;10/7/2017;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;302581;335865;335865
2513;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;10/7/2017;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;294176;326535;326535
2519;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;18/7/2017;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2521;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;18/7/2017;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2529;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;24/7/2017;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2532;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;24/7/2017;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;294176;326535;326535
2533;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;24/7/2017;M;FORM                    ;Analista Soporte Estratégico Operativo;6;SI;SEO     ;44;BANCO HIPOTECARIO S.A.;427649;555944;667133
2534;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;24/7/2017;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2541;ACTI;Dentro de convenio;CC-781  ;24 Hs. CATEGORIA OP. A CCT 781;OP24;17/10/2017;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;201721;223910;223910
2544;ACTI;Dentro de convenio;CC-781  ;36 Hs. CATEGORIA OP. A CCT 781;OP36;17/10/2017;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;302581;335865;335865
2555;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;17/10/2017;M;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2559;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;1/11/2017;M;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2564;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;1/11/2017;M;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;294176;326535;326535
2565;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;1/11/2017;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2568;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;1/11/2017;M;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2580;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;16/11/2017;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2588;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;19/12/2017;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2591;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;2/1/2018;M;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;294176;326535;326535
2592;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;12/1/2018;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;294176;326535;326535
2601;ACTI;Dentro de convenio;CC-781  ;36 Hs. CATEGORIA OP. A CCT 781;OP36;12/1/2018;M;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;302581;335865;335865
2603;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;6/11/2018;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2610;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;6/11/2018;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2613;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;6/11/2018;M;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2614;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;6/11/2018;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;294176;326535;326535
2617;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;6/11/2018;F;FORM                    ;Team Leader Operaciones;7;NO;TLC     ;44;BANCO HIPOTECARIO S.A.;446398;580317;696380
2618;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;6/11/2018;M;FORM                    ;Operador ;8;NO;CDT     ;17;BBVA BANCO FRANCES S.A.;294176;326535;326535
2623;ACTI;Dentro de convenio;ATCC    ;35,0 Hs. CATEGORIA 3 CCT688/14;H03 ;3/12/2018;F;CBA                     ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;306225;339910;339910
2627;ACTI;Dentro de convenio;ATCC    ;36,0 Hs. CATEGORIA 3 CCT688/14;H01 ;3/12/2018;M;CBA                     ;Operador ;8;NO;CDT     ;72;BANCO SANTANDER RIO S.A.;314974;349622;349622
2628;ACTI;Dentro de convenio;CC-781  ;25 Hs. CATEGORIA OP. A CCT 781;OP25;3/12/2018;M;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;210126;233239;233239
2631;ACTI;Dentro de convenio;CC-781  ;36 Hs. CATEGORIA OP. A CCT 781;OP36;3/12/2018;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;302581;335865;335865
2634;ACTI;Dentro de convenio;CC-781  ;20 Hs. CATEGORIA OP. A CCT 781;OP20;3/12/2018;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;168101;186592;186592
2637;ACTI;Dentro de convenio;CC-781  ;36 Hs. CATEGORIA OP. A CCT 781;OP36;3/12/2018;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;302581;335865;335865
2638;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;3/12/2018;M;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2639;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;3/12/2018;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2642;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;23/1/2019;F;FORM                    ;Team Leader Operaciones;7;NO;TLC     ;44;BANCO HIPOTECARIO S.A.;446398;580317;696380
2646;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;23/1/2019;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2648;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;23/1/2019;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2653;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;28/1/2019;M;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2656;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;4/2/2019;M;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2661;ACTI;Dentro de convenio;CC-781  ;36 Hs. CATEGORIA OP. A CCT 781;OP36;19/2/2019;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;302581;335865;335865
2662;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;19/2/2019;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2663;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;19/2/2019;M;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2669;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;19/2/2019;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;294176;326535;326535
2672;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;19/2/2019;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;294176;326535;326535
2675;ACTI;Fuera de convenio;FCON    ;Fuera de Convenio;FCC ;25/3/2019;F;FORM                    ;Team Leader Operaciones;7;NO;TLC     ;44;BANCO HIPOTECARIO S.A.;446398;580317;696380
2676;ACTI;Dentro de convenio;CC-781  ;20 Hs. CATEGORIA OP. A CCT 781;OP20;25/3/2019;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;168101;186592;186592
2679;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;25/3/2019;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2680;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;25/3/2019;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;294176;326535;326535
2681;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;25/3/2019;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;294176;326535;326535
2682;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;25/3/2019;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2685;ACTI;Dentro de convenio;CC-781  ;35 Hs. CATEGORIA OP. A CCT 781;OP35;25/3/2019;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;294176;326535;326535
2693;ACTI;Dentro de convenio;CC-781  ;36 Hs. CATEGORIA OP. A CCT 781;OP36;1/4/2019;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;302581;335865;335865
2697;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;3/4/2019;F;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
2698;ACTI;Dentro de convenio;CC-781  ;30 Hs. CATEGORIA OP. A CCT 781;OP30;1/4/2019;M;FORM                    ;Operador ;8;NO;CDT     ;44;BANCO HIPOTECARIO S.A.;252151;279887;279887
